,Class ID,Preferred Label,Synonyms,Definitions,Parents
27,http://edamontology.org/data_0860,Sequence signature data,,"Data concering concerning specific or conserved pattern in molecular sequences and the classifiers used for their identification, including sequence motifs, profiles or other diagnostic element.|This can include metadata about a motif or sequence profile such as its name, length, technical details about the profile construction, and so on.",http://edamontology.org/data_0006
29,http://edamontology.org/data_0862,Dotplot,,A dotplot of sequence similarities identified from word-matching or character comparison.,http://edamontology.org/data_0867
30,http://edamontology.org/data_0863,Sequence alignment,Multiple sequence aligment|msa,Alignment of multiple molecular sequences.,http://edamontology.org/data_1916
32,http://edamontology.org/data_0865,Sequence similarity score,,A value representing molecular sequence similarity.,http://edamontology.org/data_1772
34,http://edamontology.org/data_0867,Sequence alignment report,Sequence alignment metadata,"An informative report of molecular sequence alignment-derived data or metadata.|Use this for any computer-generated reports on sequence alignments, and for general information (metadata) on a sequence alignment, such as a description, sequence identifiers and alignment score.",http://edamontology.org/data_2048
37,http://edamontology.org/data_0870,Sequence distance matrix,Phylogenetic distance matrix,"A matrix of estimated evolutionary distance between molecular sequences, such as is suitable for phylogenetic tree calculation.|Methods might perform character compatibility analysis or identify patterns of similarity in an alignment or data matrix.",http://edamontology.org/data_2855
38,http://edamontology.org/data_0871,Phylogenetic character data,,"Basic character data from which a phylogenetic tree may be generated.|As defined, this concept would also include molecular sequences, microsatellites, polymorphisms (RAPDs, RFLPs, or AFLPs), restriction sites and fragments",http://edamontology.org/data_2523
39,http://edamontology.org/data_0872,Phylogenetic tree,Phylogeny,"The raw data (not just an image) from which a phylogenetic tree is directly generated or plotted, such as topology, lengths (in time or in expected amounts of variance) and a confidence interval for each length.|A phylogenetic tree is usually constructed from a set of sequences from which an alignment (or data matrix) is calculated. See also 'Phylogenetic tree image'.",http://edamontology.org/data_2523
40,http://edamontology.org/data_0874,Comparison matrix,Substitution matrix,"Matrix of integer or floating point numbers for amino acid or nucleotide sequence comparison.|The comparison matrix might include matrix name, optional comment, height and width (or size) of matrix, an index row/column (of characters) and data rows/columns (of integers or floats).",http://edamontology.org/data_2082
44,http://edamontology.org/data_0878,Protein secondary structure alignment,Secondary structure alignment (protein),Alignment of the (1D representations of) secondary structure of two or more proteins.,http://edamontology.org/data_2366
46,http://edamontology.org/data_0880,RNA secondary structure,Secondary structure (RNA),"An informative report of secondary structure (predicted or real) of an RNA molecule.|This includes thermodynamically stable or evolutionarily conserved structures such as knots, pseudoknots etc.",http://edamontology.org/data_1465
47,http://edamontology.org/data_0881,RNA secondary structure alignment,Secondary structure alignment (RNA),Alignment of the (1D representations of) secondary structure of two or more RNA molecules.,http://edamontology.org/data_2366
49,http://edamontology.org/data_0883,Structure,Coordinate model|Structure data,3D coordinate and associated data for a macromolecular tertiary (3D) structure or part of a structure.|The coordinate data may be predicted or real.,http://edamontology.org/data_0006
52,http://edamontology.org/data_0886,Structure alignment,,"Alignment (superimposition) of molecular tertiary (3D) structures.|A tertiary structure alignment will include the untransformed coordinates of one macromolecule, followed by the second (or subsequent) structure(s) with all the coordinates transformed (by rotation / translation) to give a superposition.",http://edamontology.org/data_1916
53,http://edamontology.org/data_0887,Structure alignment report,,"An informative report of molecular tertiary structure alignment-derived data.|This is a broad data type and is used a placeholder for other, more specific types.",http://edamontology.org/data_2048
54,http://edamontology.org/data_0888,Structure similarity score,,"A value representing molecular structure similarity, measured from structure alignment or some other type of structure comparison.",http://edamontology.org/data_1772
55,http://edamontology.org/data_0889,Structural profile,3D profile|Structural (3D) profile,Some type of structural (3D) profile or template (representing a structure or structure alignment).,http://edamontology.org/data_0006
56,http://edamontology.org/data_0890,Structural (3D) profile alignment,Structural profile alignment,A 3D profile-3D profile alignment (each profile representing structures or a structure alignment).,http://edamontology.org/data_1916
58,http://edamontology.org/data_0892,Protein sequence-structure scoring matrix,,Matrix of values used for scoring sequence-structure compatibility.,http://edamontology.org/data_2082
59,http://edamontology.org/data_0893,Sequence-structure alignment,,An alignment of molecular sequence to structure (from threading sequence(s) through 3D structure or representation of structure(s)).,http://edamontology.org/data_1916
62,http://edamontology.org/data_0896,Protein report,Gene product annotation,"An informative human-readable report about one or more specific protein molecules or protein structural domains, derived from analysis of primary (sequence or structural) data.",http://edamontology.org/data_2048
63,http://edamontology.org/data_0897,Protein property,Protein physicochemical property|Protein properties|Protein sequence statistics,"A report of primarily non-positional data describing intrinsic physical, chemical or other properties of a protein molecule or model.|This is a broad data type and is used a placeholder for other, more specific types.  Data may be based on analysis of nucleic acid sequence or structural data, for example reports on the surface properties (shape, hydropathy, electrostatic patches etc) of a protein structure, protein flexibility or motion, and protein architecture (spatial arrangement of secondary structure).",http://edamontology.org/data_2087
70,http://edamontology.org/data_0905,Protein interaction raw data,,"Protein-protein interaction data from for example yeast two-hybrid analysis, protein microarrays, immunoaffinity chromatography followed by mass spectrometry, phage display etc.|This is a broad data type and is used a placeholder for other, more specific types.  It is primarily intended to help navigation of EDAM and would not typically be used for annotation.",http://edamontology.org/data_3108
71,http://edamontology.org/data_0906,Protein interaction data,Protein interaction record|Protein-protein interaction data|Protein interaction report|Protein report (interaction)|Protein non-covalent interactions report|Atom interaction data|Residue interaction data,"Data concerning the interactions (predicted or known) within or between a protein, structural domain or part of a protein. This includes intra- and inter-residue contacts and distances, as well as interactions with other proteins and non-protein entities such as nucleic acid, metal atoms, water, ions etc.",http://edamontology.org/data_0897
72,http://edamontology.org/data_0907,Protein family report,Protein classification data|Protein family annotation,An informative report on a specific protein family or other classification or group of protein sequences or structures.,http://edamontology.org/data_0896
73,http://edamontology.org/data_0909,Vmax,,The maximum initial velocity or rate of a reaction. It is the limiting velocity as substrate concentrations get very large.,http://edamontology.org/data_2024
74,http://edamontology.org/data_0910,Km,,Km is the concentration (usually in Molar units) of substrate that leads to half-maximal velocity of an enzyme-catalysed reaction.,http://edamontology.org/data_2024
76,http://edamontology.org/data_0912,Nucleic acid property,Nucleic acid physicochemical property|Nucleic acid structural property|Nucleic acid property (structural)|GC-content,"A report of primarily non-positional data describing intrinsic physical, chemical or other properties of a nucleic acid molecule.|This is a broad data type and is used a placeholder for other, more specific types.",http://edamontology.org/data_2087
77,http://edamontology.org/data_0914,Codon usage data,Codon usage report,"Data derived from analysis of codon usage (typically a codon usage table) of DNA sequences.|This is a broad data type and is used a placeholder for other, more specific types.",http://edamontology.org/data_0006
78,http://edamontology.org/data_0916,Gene report,Gene annotation|Gene and transcript structure (report)|Gene function (report)|Gene structure (repot)|Nucleic acid features (gene and transcript structure)|Gene features report,"A report on predicted or actual gene structure, regions which make an RNA product and features such as promoters, coding regions, splice sites etc.|This includes any report on a particular locus or gene.  This might include the gene name, description, summary and so on. It can include details about the function of a gene, such as its encoded protein or a functional classification of the gene sequence along according to the encoded protein(s).",http://edamontology.org/data_2084
81,http://edamontology.org/data_0919,Chromosome report,,"A human-readable collection of information about a specific chromosome.|This includes basic information. e.g. chromosome number, length, karyotype features, chromosome sequence etc.",http://edamontology.org/data_2084
82,http://edamontology.org/data_0920,Genotype/phenotype report,Genotype/phenotype annotation,"A human-readable collection of information about the set of genes (or allelic forms) present in an individual, organism or cell and associated with a specific physical characteristic, or a report concerning an organisms traits and phenotypes.",http://edamontology.org/data_2048
84,http://edamontology.org/data_0924,Sequence trace,,"Fluorescence trace data generated by an automated DNA sequencer, which can be interprted as a molecular sequence (reads), given associated sequencing metadata such as base-call quality scores.|This is the raw data produced by a DNA sequencing machine.",http://edamontology.org/data_1234|http://edamontology.org/data_3108
85,http://edamontology.org/data_0925,Sequence assembly,Contigs|SO:0000353|SO:0001248,"An assembly of fragments of a (typically genomic) DNA sequence.|Typically, an assembly is a collection of contigs (for example ESTs and genomic DNA fragments) that are ordered, aligned and merged. Annotation of the assembled sequence might be included.",http://edamontology.org/data_1234
86,http://edamontology.org/data_0926,RH scores,Radiation Hybrid (RH) scores,Radiation hybrid scores (RH) scores for one or more markers.|Radiation Hybrid (RH) scores are used in Radiation Hybrid mapping.,http://edamontology.org/data_3108
87,http://edamontology.org/data_0927,Genetic linkage report,Gene annotation (linkage)|Linkage disequilibrium (report),A human-readable collection of information about the linkage of alleles.|This includes linkage disequilibrium; the non-random association of alleles or polymorphisms at two or more loci (not necessarily on the same chromosome).,http://edamontology.org/data_2084
88,http://edamontology.org/data_0928,Gene expression profile,Gene expression pattern,"Data quantifying the level of expression of (typically) multiple genes, derived for example from microarray experiments.",http://edamontology.org/data_2603
95,http://edamontology.org/data_0937,Electron density map,Protein X-ray crystallographic data,X-ray crystallography data.,http://edamontology.org/data_2537
96,http://edamontology.org/data_0938,Raw NMR data,Protein NMR data,"Nuclear magnetic resonance (NMR) raw data, typically for a protein.",http://edamontology.org/data_2537
97,http://edamontology.org/data_0939,CD spectra,Protein circular dichroism (CD) spectroscopic data|CD spectrum,Protein secondary structure from protein coordinate or circular dichroism (CD) spectroscopic data.,http://edamontology.org/data_2537
98,http://edamontology.org/data_0940,Volume map,3D volume map|EM volume map|Electron microscopy volume map,Volume map data from electron microscopy.,http://edamontology.org/data_3108
100,http://edamontology.org/data_0942,2D PAGE image,,Two-dimensional gel electrophoresis image,http://edamontology.org/data_3424
101,http://edamontology.org/data_0943,Mass spectrum,Mass spectrometry spectra,Spectra from mass spectrometry.,http://edamontology.org/data_2536
102,http://edamontology.org/data_0944,Peptide mass fingerprint,Protein fingerprint|Peak list|Molecular weights standard fingerprint,"A set of peptide masses (peptide mass fingerprint) from mass spectrometry.|A molecular weight standard fingerprint is standard protonated molecular masses e.g. from trypsin (modified porcine trypsin, Promega) and keratin peptides.",http://edamontology.org/data_2536|http://edamontology.org/data_2979
103,http://edamontology.org/data_0945,Peptide identification,Peptide spectrum match|'Protein identification',"Protein or peptide identifications with evidence supporting the identifications, for example from comparing a peptide mass fingerprint (from mass spectrometry) to a sequence database, or  the set of typical spectra one obtains when running a protein through a mass spectrometer.",http://edamontology.org/data_0897|http://edamontology.org/data_2979
107,http://edamontology.org/data_0949,Workflow metadata,,"Basic information, annotation or documentation concerning a workflow (but not the workflow itself).",http://edamontology.org/data_2337
108,http://edamontology.org/data_0950,Mathematical model,Biological model,A biological model represented in mathematical terms.,http://edamontology.org/data_0006
109,http://edamontology.org/data_0951,Statistical estimate score,,A value representing estimated statistical significance of some observed data; typically sequence database hits.,http://edamontology.org/data_1772
112,http://edamontology.org/data_0954,Database cross-mapping,,"A mapping of the accession numbers (or other database identifier) of entries between (typically) two biological or biomedical databases.|The cross-mapping is typically a table where each row is an accession number and each column is a database being cross-referenced. The cells give the accession number or identifier of the corresponding entry in a database. If a cell in the table is not filled then no mapping could be found for the database. Additional information might be given on version, date etc.",http://edamontology.org/data_2093
113,http://edamontology.org/data_0955,Data index,,An index of data of biological relevance.,http://edamontology.org/data_0006
114,http://edamontology.org/data_0956,Data index report,Database index annotation,A human-readable collection of information concerning an analysis of an index of biological data.,http://edamontology.org/data_2048
115,http://edamontology.org/data_0957,Database metadata,,"Basic information on bioinformatics database(s) or other data sources such as name, type, description, URL etc.",http://edamontology.org/data_2337
116,http://edamontology.org/data_0958,Tool metadata,,"Basic information about one or more bioinformatics applications or packages, such as name, type, description, or other documentation.",http://edamontology.org/data_2337
118,http://edamontology.org/data_0960,User metadata,,"Textual metadata on a software author or end-user, for example a person or other software.",http://edamontology.org/data_2337
119,http://edamontology.org/data_0962,Small molecule report,Small molecule annotation|Chemical structure report|Chemical compound annotation,A human-readable collection of information about a specific chemical compound.,http://edamontology.org/data_2085
120,http://edamontology.org/data_0963,Cell line report,Cell line annotation|Organism strain data,"A human-readable collection of information about a particular strain of organism cell line including plants, virus, fungi and bacteria. The data typically includes strain number, organism type, growth conditions, source and so on.",http://edamontology.org/data_2530
122,http://edamontology.org/data_0966,Ontology term,Ontology class name|Ontology terms,A term (name) from an ontology.,http://edamontology.org/data_0967
123,http://edamontology.org/data_0967,Ontology concept data,Ontology class metadata|Ontology term metadata,Data concerning or derived from a concept from a biological ontology.,http://edamontology.org/data_2353
124,http://edamontology.org/data_0968,Keyword,Phrases|Term,"Keyword(s) or phrase(s) used (typically) for text-searching purposes.|Boolean operators (AND, OR and NOT) and wildcard characters may be allowed.",http://edamontology.org/data_0006
125,http://edamontology.org/data_0970,Citation,Bibliographic reference|Reference,"Bibliographic data that uniquely identifies a scientific article, book or other published material.|A bibliographic reference might include information such as authors, title, journal name, date and (possibly) a link to the abstract or full-text of the article if available.",http://edamontology.org/data_2526
126,http://edamontology.org/data_0971,Article,Article text|Scientific article,"A scientific text, typically a full text article from a scientific journal.",http://edamontology.org/data_2526|http://edamontology.org/data_3671
127,http://edamontology.org/data_0972,Text mining report,Text mining output,A human-readable collection of information resulting from text mining.|A text mining abstract will typically include an annotated a list of words or sentences extracted from one or more scientific articles.,http://edamontology.org/data_2048|http://edamontology.org/data_2526
130,http://edamontology.org/data_0976,Identifier (by type of data),Identifier (typed),An identifier that identifies a particular type of data.|This concept exists only to assist EDAM maintenance and navigation in graphical browsers.  It does not add semantic information.  This branch provides an alternative organisation of the concepts nested under 'Accession' and 'Name'. All concepts under here are already included under 'Accession' or 'Name'.,http://edamontology.org/data_0842
131,http://edamontology.org/data_0977,Tool identifier,,"An identifier of a bioinformatics tool, e.g. an application or web service.",http://edamontology.org/data_0976
136,http://edamontology.org/data_0982,Molecule identifier,,Name or other identifier of a molecule.,http://edamontology.org/data_0976
137,http://edamontology.org/data_0983,Atom ID,Atom identifier,Identifier (e.g. character symbol) of a specific atom.,http://edamontology.org/data_0976
138,http://edamontology.org/data_0984,Molecule name,,Name of a specific molecule.,http://edamontology.org/data_0982|http://edamontology.org/data_2099
141,http://edamontology.org/data_0987,Chromosome name,,Name of a chromosome.,http://edamontology.org/data_0984|http://edamontology.org/data_2119
142,http://edamontology.org/data_0988,Peptide identifier,,Identifier of a peptide chain.,http://edamontology.org/data_0982
143,http://edamontology.org/data_0989,Protein identifier,,Identifier of a protein.,http://edamontology.org/data_0982
144,http://edamontology.org/data_0990,Compound name,Chemical name,Unique name of a chemical compound.,http://edamontology.org/data_1086|http://edamontology.org/data_0984
145,http://edamontology.org/data_0991,Chemical registry number,,Unique registry number of a chemical compound.,http://edamontology.org/data_2894
147,http://edamontology.org/data_0993,Drug identifier,,Identifier of a drug.,http://edamontology.org/data_1086
148,http://edamontology.org/data_0994,Amino acid identifier,Residue identifier,Identifier of an amino acid.,http://edamontology.org/data_1086
149,http://edamontology.org/data_0995,Nucleotide identifier,,Name or other identifier of a nucleotide.,http://edamontology.org/data_1086
150,http://edamontology.org/data_0996,Monosaccharide identifier,,Identifier of a monosaccharide.,http://edamontology.org/data_1086
151,http://edamontology.org/data_0997,Chemical name (ChEBI),ChEBI chemical name,Unique name from Chemical Entities of Biological Interest (ChEBI) of a chemical compound.|This is the recommended chemical name for use for example in database annotation.,http://edamontology.org/data_0990
152,http://edamontology.org/data_0998,Chemical name (IUPAC),IUPAC chemical name,IUPAC recommended name of a chemical compound.,http://edamontology.org/data_0990
153,http://edamontology.org/data_0999,Chemical name (INN),INN chemical name,"International Non-proprietary Name (INN or 'generic name') of a chemical compound, assigned by the World Health Organisation (WHO).",http://edamontology.org/data_0990
154,http://edamontology.org/data_1000,Chemical name (brand),Brand chemical name,Brand name of a chemical compound.,http://edamontology.org/data_0990
155,http://edamontology.org/data_1001,Chemical name (synonymous),Synonymous chemical name,Synonymous name of a chemical compound.,http://edamontology.org/data_0990
156,http://edamontology.org/data_1002,CAS number,CAS chemical registry number|Chemical registry number (CAS),"CAS registry number of a chemical compound; a unique numerical identifier of chemicals in the scientific literature, as assigned by the Chemical Abstracts Service.",http://edamontology.org/data_2895|http://edamontology.org/data_0991|http://edamontology.org/data_2091
157,http://edamontology.org/data_1003,Chemical registry number (Beilstein),Beilstein chemical registry number,Beilstein registry number of a chemical compound.,http://edamontology.org/data_0991|http://edamontology.org/data_2091
158,http://edamontology.org/data_1004,Chemical registry number (Gmelin),Gmelin chemical registry number,Gmelin registry number of a chemical compound.,http://edamontology.org/data_0991|http://edamontology.org/data_2091
159,http://edamontology.org/data_1005,HET group name,Short ligand name|Component identifier code,"3-letter code word for a ligand (HET group) from a PDB file, for example ATP.",http://edamontology.org/data_0990
160,http://edamontology.org/data_1006,Amino acid name,,String of one or more ASCII characters representing an amino acid.,http://edamontology.org/data_0994
161,http://edamontology.org/data_1007,Nucleotide code,,String of one or more ASCII characters representing a nucleotide.,http://edamontology.org/data_0995|http://edamontology.org/data_0990
162,http://edamontology.org/data_1008,Polypeptide chain ID,PDB chain identifier|Polypeptide chain identifier|PDB strand id|Protein chain identifier|Chain identifier,"Identifier of a polypeptide chain from a protein.|This is typically a character (for the chain) appended to a PDB identifier, e.g. 1cukA",http://edamontology.org/data_0988
163,http://edamontology.org/data_1009,Protein name,,Name of a protein.,http://edamontology.org/data_0989|http://edamontology.org/data_0984
164,http://edamontology.org/data_1010,Enzyme identifier,,Name or other identifier of an enzyme or record from a database of enzymes.,http://edamontology.org/data_0989
165,http://edamontology.org/data_1011,EC number,EC code|EC|Enzyme Commission number,An Enzyme Commission (EC) number of an enzyme.,http://edamontology.org/data_2321|http://edamontology.org/data_2091
166,http://edamontology.org/data_1012,Enzyme name,,Name of an enzyme.,http://edamontology.org/data_1010|http://edamontology.org/data_1009
167,http://edamontology.org/data_1013,Restriction enzyme name,,Name of a restriction enzyme.,http://edamontology.org/data_1012
169,http://edamontology.org/data_1015,Sequence feature ID,,"A unique identifier of molecular sequence feature, for example an ID of a feature that is unique within the scope of the GFF file.",http://edamontology.org/data_3034
170,http://edamontology.org/data_1016,Sequence position,SO:0000735,"A position of one or more points (base or residue) in a sequence, or part of such a specification.",http://edamontology.org/data_2534
171,http://edamontology.org/data_1017,Sequence range,,Specification of range(s) of sequence positions.,http://edamontology.org/data_2534
174,http://edamontology.org/data_1020,Sequence feature key,Sequence feature method|Sequence feature type,"The type of a sequence feature, typically a term or accession from the Sequence Ontology, for example an EMBL or Swiss-Prot sequence feature key.|A feature key indicates the biological nature of the feature or information about changes to or versions of the sequence.",http://edamontology.org/data_2914
175,http://edamontology.org/data_1021,Sequence feature qualifier,,Typically one of the EMBL or Swiss-Prot feature qualifiers.|Feature qualifiers hold information about a feature beyond that provided by the feature key and location.,http://edamontology.org/data_2914
176,http://edamontology.org/data_1022,Sequence feature label,Sequence feature name,"A name of a sequence feature, e.g. the name of a feature to be displayed to an end-user. Typically an EMBL or Swiss-Prot feature label.|A feature label identifies a feature of a sequence database entry. When used with the database name and the entry's primary accession number, it is a unique identifier of that feature.",http://edamontology.org/data_3034|http://edamontology.org/data_2099|http://edamontology.org/data_2914
177,http://edamontology.org/data_1023,EMBOSS Uniform Feature Object,UFO,The name of a sequence feature-containing entity adhering to the standard feature naming scheme used by all EMBOSS applications.,http://edamontology.org/data_3034|http://edamontology.org/data_2099
179,http://edamontology.org/data_1025,Gene identifier,,"An identifier of a gene, such as a name/symbol or a unique identifier of a gene in a database.",http://edamontology.org/data_0976
180,http://edamontology.org/data_1026,Gene symbol,,The short name of a gene; a single word that does not contain white space characters. It is typically derived from the gene name.,http://edamontology.org/data_2299
181,http://edamontology.org/data_1027,Gene ID (NCBI),Gene identifier (NCBI)|NCBI gene ID|Entrez gene ID|NCBI geneid|Gene identifier (Entrez),An NCBI unique identifier of a gene.,http://edamontology.org/data_2295|http://edamontology.org/data_2091|http://edamontology.org/data_1098
185,http://edamontology.org/data_1031,Gene ID (CGD),CGD ID,Identifier of a gene or feature from the CGD database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
186,http://edamontology.org/data_1032,Gene ID (DictyBase),,Identifier of a gene from DictyBase.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
187,http://edamontology.org/data_1033,Ensembl gene ID,Gene ID (Ensembl),Unique identifier for a gene (or other feature) from the Ensembl database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091|http://edamontology.org/data_2610
188,http://edamontology.org/data_1034,Gene ID (SGD),SGD identifier,Identifier of an entry from the SGD database.,http://edamontology.org/data_2295|http://edamontology.org/data_2632|http://edamontology.org/data_2091
189,http://edamontology.org/data_1035,Gene ID (GeneDB),GeneDB identifier,Identifier of a gene from the GeneDB database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
190,http://edamontology.org/data_1036,TIGR identifier,,Identifier of an entry from the TIGR database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091|http://edamontology.org/data_2109
191,http://edamontology.org/data_1037,TAIR accession (gene),,Identifier of an gene from the TAIR database.,http://edamontology.org/data_2295|http://edamontology.org/data_2387
192,http://edamontology.org/data_1038,Protein domain ID,,Identifier of a protein structural domain.|This is typically a character or string concatenated with a PDB identifier and a chain identifier.,http://edamontology.org/data_0976
193,http://edamontology.org/data_1039,SCOP domain identifier,,Identifier of a protein domain (or other node) from the SCOP database.,http://edamontology.org/data_2091|http://edamontology.org/data_1038
194,http://edamontology.org/data_1040,CATH domain ID,CATH domain identifier,Identifier of a protein domain from CATH.,http://edamontology.org/data_2700
195,http://edamontology.org/data_1041,SCOP concise classification string (sccs),,"A SCOP concise classification string (sccs) is a compact representation of a SCOP domain classification.|An scss includes the class (alphabetical), fold, superfamily and family (all numerical) to which a given domain belongs.",http://edamontology.org/data_1039
196,http://edamontology.org/data_1042,SCOP sunid,SCOP unique identifier|sunid,"Unique identifier (number) of an entry in the SCOP hierarchy, for example 33229.|A sunid uniquely identifies an entry in the SCOP hierarchy, including leaves (the SCOP domains) and higher level nodes including entries corresponding to the protein level.",http://edamontology.org/data_1039
197,http://edamontology.org/data_1043,CATH node ID,CATH node identifier|CATH code,A code number identifying a node from the CATH database.,http://edamontology.org/data_2700
198,http://edamontology.org/data_1044,Kingdom name,,"The name of a biological kingdom (Bacteria, Archaea, or Eukaryotes).",http://edamontology.org/data_1868
199,http://edamontology.org/data_1045,Species name,Organism species,The name of a species (typically a taxonomic group) of organism.,http://edamontology.org/data_1868
200,http://edamontology.org/data_1046,Strain name,,"The name of a strain of an organism variant, typically a plant, virus or bacterium.",http://edamontology.org/data_2379|http://edamontology.org/data_2909
201,http://edamontology.org/data_1047,URI,URIs,A string of characters that name or otherwise identify a resource on the Internet.,http://edamontology.org/data_0842
202,http://edamontology.org/data_1048,Database ID,Database identifier,An identifier of a biological or bioinformatics database.,http://edamontology.org/data_0976
203,http://edamontology.org/data_1049,Directory name,,The name of a directory.,http://edamontology.org/data_2099
204,http://edamontology.org/data_1050,File name,,The name (or part of a name) of a file (of any type).,http://edamontology.org/data_2099
205,http://edamontology.org/data_1051,Ontology name,,Name of an ontology of biological or bioinformatics concepts and relations.,http://edamontology.org/data_2338|http://edamontology.org/data_2099
206,http://edamontology.org/data_1052,URL,,A Uniform Resource Locator (URL).,http://edamontology.org/data_1047
207,http://edamontology.org/data_1053,URN,,A Uniform Resource Name (URN).,http://edamontology.org/data_1047
208,http://edamontology.org/data_1055,LSID,Life Science Identifier,A Life Science Identifier (LSID) - a unique identifier of some data.|LSIDs provide a standard way to locate and describe data. An LSID is represented as a Uniform Resource Name (URN) with the following format: URN:LSID:<Authority>:<Namespace>:<ObjectID>[:<Version>],http://edamontology.org/data_1053
209,http://edamontology.org/data_1056,Database name,,The name of a biological or bioinformatics database.,http://edamontology.org/data_1048|http://edamontology.org/data_2099
211,http://edamontology.org/data_1058,Enumerated file name,,The name of a file (of any type) with restricted possible values.,http://edamontology.org/data_1050
212,http://edamontology.org/data_1059,File name extension,,The extension of a file name.|A file extension is the characters appearing after the final '.' in the file name.,http://edamontology.org/data_1050
213,http://edamontology.org/data_1060,File base name,,The base name of a file.|A file base name is the file name stripped of its directory specification and extension.,http://edamontology.org/data_1050
214,http://edamontology.org/data_1061,QSAR descriptor name,,Name of a QSAR descriptor.,http://edamontology.org/data_2110|http://edamontology.org/data_2099
216,http://edamontology.org/data_1063,Sequence identifier,,An identifier of molecular sequence(s) or entries from a molecular sequence database.,http://edamontology.org/data_0976
217,http://edamontology.org/data_1064,Sequence set ID,,An identifier of a set of molecular sequence(s).,http://edamontology.org/data_0976
219,http://edamontology.org/data_1066,Sequence alignment ID,,"Identifier of a molecular sequence alignment, for example a record from an alignment database.",http://edamontology.org/data_0976|http://edamontology.org/data_2091
221,http://edamontology.org/data_1068,Phylogenetic tree ID,,Identifier of a phylogenetic tree for example from a phylogenetic tree database.,http://edamontology.org/data_0976
222,http://edamontology.org/data_1069,Comparison matrix identifier,Substitution matrix identifier,An identifier of a comparison matrix.,http://edamontology.org/data_3036
223,http://edamontology.org/data_1070,Structure ID,,"A unique and persistent identifier of a molecular tertiary structure, typically an entry from a structure database.",http://edamontology.org/data_3035
